"","chr","start","stop","haplotype_block","T0","selCoef","cov","Gen10_neutAFC99","Gen10_neutAFC999","midpoint"
"40","Scz6wRH_1693;HRSCAF=1917",1528247,2692038,"Scz6wRH_1693;HRSCAF=1917_0.4_1_noThreshold",0.1475,0.158394232205536,62,0.0495014285714286,0.0665005714285715,2110142.5
"60","Scz6wRH_1693;HRSCAF=1917",3987079,4921026,"Scz6wRH_1693;HRSCAF=1917_0.4_3_noThreshold",0.1475,0.123611916866718,72,0.0485,0.063929142857143,4454052.5
"61","Scz6wRH_1693;HRSCAF=1917",6099643,8239323,"Scz6wRH_1693;HRSCAF=1917_0.4_4_noThreshold",0.38475,0.0958658963559788,51,0.0666814285714286,0.0861802142857146,7169483
"62","Scz6wRH_1693;HRSCAF=1917",10534204,13588185,"Scz6wRH_1693;HRSCAF=1917_0.4_5_noThreshold",0.0975,0.136500080199739,56,0.0413571428571428,0.0559294285714288,12061194.5
"63","Scz6wRH_1693;HRSCAF=1917",15652580,16912228,"Scz6wRH_1693;HRSCAF=1917_0.4_6_noThreshold",0.0585,0.204335065547259,74,0.0332142857142857,0.0443577142857144,16282404
"64","Scz6wRH_1693;HRSCAF=1917",18729196,19722984,"Scz6wRH_1693;HRSCAF=1917_0.4_7_noThreshold",0.131,0.136436875486327,55,0.0470028571428572,0.0607142857142857,19226090
"65","Scz6wRH_1693;HRSCAF=1917",20969376,22453547,"Scz6wRH_1693;HRSCAF=1917_0.4_8_noThreshold",0.21275,0.129472321709629,55,0.0561071428571429,0.0701071428571429,21711461.5
"41","Scz6wRH_1693;HRSCAF=1917",31429026,32203068,"Scz6wRH_1693;HRSCAF=1917_0.4_10_noThreshold",0.498,0.177415020976016,66,0.0685714285714286,0.0868577142857144,31816047
"42","Scz6wRH_1693;HRSCAF=1917",35869942,37275025,"Scz6wRH_1693;HRSCAF=1917_0.4_11_noThreshold",0.5805,0.119620734993659,68,0.0676428571428571,0.0879300000000003,36572483.5
"43","Scz6wRH_1693;HRSCAF=1917",40227336,42897432,"Scz6wRH_1693;HRSCAF=1917_0.4_12_noThreshold",0.13675,0.115145910617887,69,0.0473235714285715,0.0618231428571432,41562384
"44","Scz6wRH_1693;HRSCAF=1917",45881669,46598179,"Scz6wRH_1693;HRSCAF=1917_0.4_13_noThreshold",0.652,0.127103247245071,85,0.0645714285714285,0.0842857142857143,46239924
"45","Scz6wRH_1693;HRSCAF=1917",47301485,48341348,"Scz6wRH_1693;HRSCAF=1917_0.4_14_noThreshold",0.519,0.0629584581611364,77,0.0678571428571428,0.0861434285714287,47821416.5
"46","Scz6wRH_1693;HRSCAF=1917",48978888,49984840,"Scz6wRH_1693;HRSCAF=1917_0.4_15_noThreshold",0.7225,0.109295330026324,57,0.0623571428571428,0.0762148571428573,49481864
"47","Scz6wRH_1693;HRSCAF=1917",52345989,53883249,"Scz6wRH_1693;HRSCAF=1917_0.4_16_noThreshold",0.38725,0.159134015045049,59,0.0676092857142858,0.0824647857142858,53114619
"48","Scz6wRH_1693;HRSCAF=1917",57310419,58710943,"Scz6wRH_1693;HRSCAF=1917_0.4_17_noThreshold",0.0555,0.200677724423661,66,0.0310714285714286,0.0425005714285715,58010681
"49","Scz6wRH_1693;HRSCAF=1917",59022618,59902457,"Scz6wRH_1693;HRSCAF=1917_0.4_18_noThreshold",0.1055,0.193552536905378,63,0.0419314285714286,0.0555010000000002,59462537.5
"50","Scz6wRH_1693;HRSCAF=1917",59987273,61931667,"Scz6wRH_1693;HRSCAF=1917_0.4_19_noThreshold",0.2315,0.120629494721029,59,0.0587857142857142,0.0770722857142859,60959470
"51","Scz6wRH_1693;HRSCAF=1917",63831792,65365255,"Scz6wRH_1693;HRSCAF=1917_0.4_20_noThreshold",0.18075,0.0887979431769276,63,0.0536092857142858,0.0698214285714286,64598523.5
"52","Scz6wRH_1693;HRSCAF=1917",70644753,72045011,"Scz6wRH_1693;HRSCAF=1917_0.4_21_noThreshold",0.182,0.130639807228982,61,0.0522857142857143,0.0657145714285715,71344882
"53","Scz6wRH_1693;HRSCAF=1917",72218616,73087135,"Scz6wRH_1693;HRSCAF=1917_0.4_22_noThreshold",0.3025,0.0936476463907771,62,0.0632157142857143,0.0812151428571431,72652875.5
"54","Scz6wRH_1693;HRSCAF=1917",74848383,77502320,"Scz6wRH_1693;HRSCAF=1917_0.4_23_noThreshold",0.18825,0.129318204941656,63,0.0539642857142857,0.0666080000000002,76175351.5
"55","Scz6wRH_1693;HRSCAF=1917",80356425,81349246,"Scz6wRH_1693;HRSCAF=1917_0.4_24_noThreshold",0.43325,0.108977614084839,63,0.0695357142857143,0.0881797142857145,80852835.5
"56","Scz6wRH_1693;HRSCAF=1917",84953846,86344760,"Scz6wRH_1693;HRSCAF=1917_0.4_25_noThreshold",0.05525,0.195429046254173,55,0.0310385714285715,0.0413217142857143,85649303
"57","Scz6wRH_1693;HRSCAF=1917",89669719,90728135,"Scz6wRH_1693;HRSCAF=1917_0.4_26_noThreshold",0.46325,0.0926353400853829,68,0.0689671428571429,0.0878931428571429,90198927
"58","Scz6wRH_1693;HRSCAF=1917",93053906,94023187,"Scz6wRH_1693;HRSCAF=1917_0.4_27_noThreshold",0.279,0.0941054945036116,55,0.0612885714285715,0.0790002857142858,93538546.5
"59","Scz6wRH_1693;HRSCAF=1917",94091429,95146630,"Scz6wRH_1693;HRSCAF=1917_0.4_28_noThreshold",0.048,0.172780213330214,71,0.0294285714285714,0.0394288571428572,94619029.5
"66","Scz6wRH_2;HRSCAF=24",34232,1194210,"Scz6wRH_2;HRSCAF=24_0.4_1_noThreshold",0.529,0.112652095409003,56,0.0692885714285716,0.0838585714285718,614221
"75","Scz6wRH_2;HRSCAF=24",2282851,3556436,"Scz6wRH_2;HRSCAF=24_0.4_2_noThreshold",0.43975,0.0890691573930547,71,0.0668242857142858,0.0803222142857144,2919643.5
"86","Scz6wRH_2;HRSCAF=24",4587302,5733391,"Scz6wRH_2;HRSCAF=24_0.4_3_noThreshold",0.66225,0.152994050084236,59,0.0648214285714286,0.0791080714285716,5160346.5
"95","Scz6wRH_2;HRSCAF=24",9575369,11618697,"Scz6wRH_2;HRSCAF=24_0.4_4_noThreshold",0.47525,0.130750640863503,61,0.0701071428571429,0.0887499999999999,10597033
"105","Scz6wRH_2;HRSCAF=24",11822266,13885695,"Scz6wRH_2;HRSCAF=24_0.4_5_noThreshold",0.0405,0.105006362439389,61,0.0277857142857143,0.0372148571428573,12853980.5
"108","Scz6wRH_2;HRSCAF=24",15508491,17565889,"Scz6wRH_2;HRSCAF=24_0.4_6_noThreshold",0.4455,0.0981145865011933,63,0.0686442857142858,0.0867881428571433,16537190
"109","Scz6wRH_2;HRSCAF=24",17768099,19765011,"Scz6wRH_2;HRSCAF=24_0.4_7_noThreshold",0.10075,0.156495581063918,65,0.0421078571428571,0.055536,18766555
"110","Scz6wRH_2;HRSCAF=24",22785392,24895780,"Scz6wRH_2;HRSCAF=24_0.4_9_noThreshold",0.12,0.168558871738556,58,0.0442857142857143,0.0574288571428572,23840586
"67","Scz6wRH_2;HRSCAF=24",25961422,27181226,"Scz6wRH_2;HRSCAF=24_0.4_11_noThreshold",0.19275,0.159771455364497,70,0.0547521428571429,0.068179642857143,26571324
"68","Scz6wRH_2;HRSCAF=24",28722208,30104558,"Scz6wRH_2;HRSCAF=24_0.4_12_noThreshold",0.1925,0.0736183622445539,56,0.0543571428571429,0.0693571428571429,29413383
"69","Scz6wRH_2;HRSCAF=24",32345967,33709002,"Scz6wRH_2;HRSCAF=24_0.4_13_noThreshold",0.4715,0.100713938715692,56,0.0683585714285715,0.0920725714285717,33027484.5
"70","Scz6wRH_2;HRSCAF=24",34750798,36003916,"Scz6wRH_2;HRSCAF=24_0.4_14_noThreshold",0.183,0.116751936743111,56,0.0535714285714286,0.0678585714285717,35377357
"71","Scz6wRH_2;HRSCAF=24",36056368,38049027,"Scz6wRH_2;HRSCAF=24_0.4_16_noThreshold",0.1165,0.120809589076527,67,0.0439314285714286,0.057215142857143,37052697.5
"72","Scz6wRH_2;HRSCAF=24",39811562,43962368,"Scz6wRH_2;HRSCAF=24_0.4_17_noThreshold",0.079,0.178524747206027,63,0.0381428571428571,0.0481434285714287,41886965
"73","Scz6wRH_2;HRSCAF=24",44949263,46903978,"Scz6wRH_2;HRSCAF=24_0.4_18_noThreshold",0.536,0.105712541338892,51,0.0682857142857143,0.087429142857143,45926620.5
"74","Scz6wRH_2;HRSCAF=24",48576615,50687530,"Scz6wRH_2;HRSCAF=24_0.4_19_noThreshold",0.18,0.133474505140312,61,0.0522857142857143,0.0682857142857143,49632072.5
"76","Scz6wRH_2;HRSCAF=24",50794361,52842026,"Scz6wRH_2;HRSCAF=24_0.4_20_noThreshold",0.06175,0.135207268276441,64,0.0337521428571429,0.0453931428571429,51818193.5
"77","Scz6wRH_2;HRSCAF=24",52187829,55109758,"Scz6wRH_2;HRSCAF=24_0.4_21_noThreshold",0.229,0.118900785635188,66,0.0581428571428571,0.0735720000000002,53648793.5
"78","Scz6wRH_2;HRSCAF=24",55977208,56960874,"Scz6wRH_2;HRSCAF=24_0.4_22_noThreshold",0.7615,0.199050509413163,57,0.0582142857142857,0.0740718571428573,56469041
"79","Scz6wRH_2;HRSCAF=24",56742054,58018417,"Scz6wRH_2;HRSCAF=24_0.4_23_noThreshold",0.048,0.146310758310069,66,0.03,0.0411428571428571,57380235.5
"80","Scz6wRH_2;HRSCAF=24",58079293,62462892,"Scz6wRH_2;HRSCAF=24_0.4_24_noThreshold",0.082,0.177503647826238,60,0.0374285714285714,0.0494288571428572,60271092.5
"81","Scz6wRH_2;HRSCAF=24",64938971,66874264,"Scz6wRH_2;HRSCAF=24_0.4_25_noThreshold",0.089,0.11692475948008,69,0.0387171428571429,0.0532860000000001,65906617.5
"82","Scz6wRH_2;HRSCAF=24",66905686,68142564,"Scz6wRH_2;HRSCAF=24_0.4_26_noThreshold",0.7775,0.209915732473439,64,0.0575,0.0715011428571431,67524125
"83","Scz6wRH_2;HRSCAF=24",69108277,70426626,"Scz6wRH_2;HRSCAF=24_0.4_27_noThreshold",0.41025,0.0995374834601888,74,0.0676785714285714,0.082036,69767451.5
"84","Scz6wRH_2;HRSCAF=24",71409881,74214696,"Scz6wRH_2;HRSCAF=24_0.4_28_noThreshold",0.16675,0.114848529875025,64,0.0504664285714286,0.0666788571428572,72812288.5
"85","Scz6wRH_2;HRSCAF=24",75063522,76421481,"Scz6wRH_2;HRSCAF=24_0.4_29_noThreshold",0.372,0.129128841635595,84,0.0665714285714286,0.0854294285714287,75742501.5
"87","Scz6wRH_2;HRSCAF=24",77972448,81546006,"Scz6wRH_2;HRSCAF=24_0.4_30_noThreshold",0.3295,0.0973185406676629,63,0.0645014285714286,0.0822142857142857,79759227
"88","Scz6wRH_2;HRSCAF=24",81638354,83046695,"Scz6wRH_2;HRSCAF=24_0.4_32_noThreshold",0.1915,0.0916402342399707,66,0.0543571428571429,0.0676434285714287,82342524.5
"89","Scz6wRH_2;HRSCAF=24",83076681,84926784,"Scz6wRH_2;HRSCAF=24_0.4_33_noThreshold",0.2825,0.126506639245434,57,0.0627871428571428,0.0823588571428575,84001732.5
"90","Scz6wRH_2;HRSCAF=24",85299081,87414502,"Scz6wRH_2;HRSCAF=24_0.4_34_noThreshold",0.6375,0.14179590805111,63,0.0662157142857144,0.0857857142857142,86356791.5
"91","Scz6wRH_2;HRSCAF=24",88229217,89604772,"Scz6wRH_2;HRSCAF=24_0.4_35_noThreshold",0.11925,0.160898259160849,60,0.0450378571428572,0.0601788571428572,88916994.5
"92","Scz6wRH_2;HRSCAF=24",90531238,93221772,"Scz6wRH_2;HRSCAF=24_0.4_36_noThreshold",0.268,0.16900598050562,59,0.0617142857142857,0.0760005714285715,91876505
"93","Scz6wRH_2;HRSCAF=24",94215706,95519475,"Scz6wRH_2;HRSCAF=24_0.4_38_noThreshold",0.142,0.0940522594052113,60,0.0485714285714286,0.062,94867590.5
"94","Scz6wRH_2;HRSCAF=24",98569080,100540369,"Scz6wRH_2;HRSCAF=24_0.4_39_noThreshold",0.231,0.125341124760602,54,0.0578600000000001,0.0684300000000003,99554724.5
"96","Scz6wRH_2;HRSCAF=24",101450110,105601710,"Scz6wRH_2;HRSCAF=24_0.4_40_noThreshold",0.1675,0.131415880581771,61,0.0510714285714286,0.0665001428571429,103525910
"97","Scz6wRH_2;HRSCAF=24",106151423,109194573,"Scz6wRH_2;HRSCAF=24_0.4_41_noThreshold",0.1415,0.132191877359263,62,0.0482142857142857,0.060215142857143,107672998
"98","Scz6wRH_2;HRSCAF=24",111019460,113855864,"Scz6wRH_2;HRSCAF=24_0.4_42_noThreshold",0.15725,0.129758543450258,61,0.0503935714285714,0.064179142857143,112437662
"99","Scz6wRH_2;HRSCAF=24",113964650,117592374,"Scz6wRH_2;HRSCAF=24_0.4_43_noThreshold",0.174,0.12615383394005,66,0.052,0.0665722857142859,115778512
"100","Scz6wRH_2;HRSCAF=24",119094938,121092131,"Scz6wRH_2;HRSCAF=24_0.4_45_noThreshold",0.474,0.0948887155739626,58,0.0674314285714287,0.0857148571428572,120093534.5
"101","Scz6wRH_2;HRSCAF=24",122785071,123740372,"Scz6wRH_2;HRSCAF=24_0.4_46_noThreshold",0.1725,0.157390936769877,60,0.0517857142857143,0.0636432857142858,123262721.5
"102","Scz6wRH_2;HRSCAF=24",124980363,126410386,"Scz6wRH_2;HRSCAF=24_0.4_47_noThreshold",0.0735,0.146380355845447,58,0.0360714285714286,0.046215142857143,125695374.5
"103","Scz6wRH_2;HRSCAF=24",126473836,128451867,"Scz6wRH_2;HRSCAF=24_0.4_48_noThreshold",0.28325,0.128950533753839,67,0.06075,0.0801785714285714,127462851.5
"104","Scz6wRH_2;HRSCAF=24",130100838,136681352,"Scz6wRH_2;HRSCAF=24_0.4_49_noThreshold",0.4485,0.115632470516464,62,0.0675,0.0873577142857144,133391095
"106","Scz6wRH_2;HRSCAF=24",137037512,138908485,"Scz6wRH_2;HRSCAF=24_0.4_50_noThreshold",0.243,0.148519668452829,64,0.0587142857142857,0.076429142857143,137972998.5
"107","Scz6wRH_2;HRSCAF=24",138929889,140305170,"Scz6wRH_2;HRSCAF=24_0.4_51_noThreshold",0.137,0.111429700810231,74,0.0481428571428571,0.0635714285714286,139617529.5
"111","Scz6wRH_23;HRSCAF=98",33713952,35481617,"Scz6wRH_23;HRSCAF=98_0.5_1_noThreshold",0.2145,0.133939446847199,62,0.0562157142857143,0.0700720000000001,34597784.5
"114","Scz6wRH_23;HRSCAF=98",36441067,38040771,"Scz6wRH_23;HRSCAF=98_0.5_2_noThreshold",0.725,0.0898250018778156,61,0.0607142857142857,0.0772857142857143,37240919
"115","Scz6wRH_23;HRSCAF=98",58087278,59292011,"Scz6wRH_23;HRSCAF=98_0.5_3_noThreshold",0.4415,0.0804689472419105,55,0.0673571428571429,0.0859292857142859,58689644.5
"116","Scz6wRH_23;HRSCAF=98",71416540,72398156,"Scz6wRH_23;HRSCAF=98_0.5_4_noThreshold",0.20625,0.099557834066808,67,0.055965,0.0743217142857144,71907348
"117","Scz6wRH_23;HRSCAF=98",75450000,77158368,"Scz6wRH_23;HRSCAF=98_0.5_5_noThreshold",0.5385,0.134149290108131,72,0.0686428571428571,0.0855,76304184
"118","Scz6wRH_23;HRSCAF=98",86547034,87762265,"Scz6wRH_23;HRSCAF=98_0.5_6_noThreshold",0.35775,0.111216448440648,58,0.0656814285714286,0.084036785714286,87154649.5
"119","Scz6wRH_23;HRSCAF=98",88489358,89613183,"Scz6wRH_23;HRSCAF=98_0.5_7_noThreshold",0.378,0.101675720166343,73,0.0671457142857144,0.0802862857142858,89051270.5
"120","Scz6wRH_23;HRSCAF=98",89189882,90887665,"Scz6wRH_23;HRSCAF=98_0.5_8_noThreshold",0.0625,0.143083445672382,70,0.0320714285714286,0.0443577142857144,90038773.5
"121","Scz6wRH_23;HRSCAF=98",94232614,95630921,"Scz6wRH_23;HRSCAF=98_0.5_9_noThreshold",0.43025,0.072422664563887,64,0.0674642857142858,0.0833934285714286,94931767.5
"112","Scz6wRH_23;HRSCAF=98",121488154,122593572,"Scz6wRH_23;HRSCAF=98_0.5_10_noThreshold",0.565,0.146917387061681,62,0.0675714285714285,0.0852862857142858,122040863
"113","Scz6wRH_23;HRSCAF=98",127016283,127950228,"Scz6wRH_23;HRSCAF=98_0.5_11_noThreshold",0.7075,0.1274788542629,52,0.0619285714285714,0.0800720000000001,127483255.5
