transcript,position,selCoef,T0_AF
TRINITY_DN18438_c0_g1_i1,133,0.062309797961135,0.515
TRINITY_DN18526_c0_g1_i1,41,0.184707428820725,0
TRINITY_DN18543_c0_g1_i1,402,0.0985704807312368,0.5325
TRINITY_DN18712_c0_g1_i1,936,0.0677901750943023,0.404
TRINITY_DN18769_c0_g1_i4,65,0.128688090068879,0.039
TRINITY_DN18770_c0_g1_i3,73,0.0723761651837314,0.7465
TRINITY_DN18820_c0_g1_i3,134,0.142927509850545,0.8085
TRINITY_DN18982_c0_g1_i1,351,0.067933664540204,0.4925
TRINITY_DN19129_c0_g1_i2,60,0.065513554657889,0.287
TRINITY_DN19183_c0_g1_i1,115,0.119078313271005,0.806
TRINITY_DN19204_c0_g1_i1,449,0.114752496872527,0.1085
TRINITY_DN19244_c0_g1_i5,198,0.135897315462875,0.0105
TRINITY_DN19266_c0_g1_i1,43,0.144132772926813,0.0145
TRINITY_DN19292_c0_g1_i1,36,0.139192552445461,0.0325
TRINITY_DN19313_c0_g1_i2,278,0.115317475996773,0.7255
TRINITY_DN19355_c0_g1_i2,39,0.0680280915900421,0.0725
TRINITY_DN19404_c3_g1_i1,555,0.180560395684277,0.0145
TRINITY_DN19404_c3_g1_i1,559,0.1797776518449,0.0145
TRINITY_DN19404_c3_g1_i1,563,0.186262553855515,0.016
TRINITY_DN19407_c1_g1_i8,1029,0.0967554193641801,0.825
TRINITY_DN19415_c0_g1_i1,126,0.144435522040369,0.883
TRINITY_DN19490_c0_g1_i11,238,0.0801561048966509,0.1645
TRINITY_DN19490_c0_g1_i11,241,0.0633590267158714,0.3345
TRINITY_DN19490_c0_g1_i11,258,0.0777241358686429,0.1675
TRINITY_DN19515_c3_g2_i4,160,0.152404862659115,0.953
TRINITY_DN19576_c8_g1_i2,339,0.0799774479920933,0.4025
TRINITY_DN19684_c6_g2_i1,402,0.115934388445101,0.799
TRINITY_DN19698_c1_g1_i1,6,0.477419218115517,0.2735
TRINITY_DN19699_c3_g1_i1,457,0.0704598140756237,0.108
TRINITY_DN19721_c4_g1_i1,290,0.130563558712074,0.9585
TRINITY_DN19752_c0_g2_i1,164,0.044768949124833,0.1565
TRINITY_DN19767_c9_g1_i3,308,0.188840850860517,0.011
TRINITY_DN19770_c1_g1_i4,178,0.163752368141852,0.004
TRINITY_DN19795_c4_g1_i14,545,0.0915499774960628,0.195
TRINITY_DN19795_c4_g1_i3,422,0.06076494580093,0.587
TRINITY_DN19795_c4_g1_i3,582,0.10762394650198,0.4925
TRINITY_DN19847_c1_g1_i5,192,0.084297468471037,0.6905
TRINITY_DN19859_c9_g2_i2,76,0.135011723092956,0.891
TRINITY_DN19861_c3_g3_i1,689,0.161499875574799,0.0145
TRINITY_DN19867_c4_g1_i1,226,0.0213694951719653,0.0365
TRINITY_DN19878_c11_g4_i1,548,0.075506175712634,0.391
TRINITY_DN19919_c8_g1_i1,45,0.0997934910168414,0.6825
TRINITY_DN19951_c0_g1_i1,195,0.205643478227834,0.0085
TRINITY_DN20003_c8_g2_i3,61,0.0806630220694377,0.1235
TRINITY_DN20005_c4_g1_i2,484,0.130736740470141,0.0525
TRINITY_DN20005_c4_g1_i2,499,0.133059177433142,0.045
TRINITY_DN20097_c6_g1_i1,670,0.0909218973895829,0.068
TRINITY_DN20121_c4_g1_i12,204,0.159004908786129,0.925
TRINITY_DN20134_c7_g1_i3,586,0.0801718329500914,0.089
TRINITY_DN20165_c0_g2_i7,247,0.123435008494773,0.0595
TRINITY_DN20180_c7_g1_i1,159,0.0743033986481917,0.3815
TRINITY_DN20189_c2_g1_i5,685,0.224416151633045,0.8375
TRINITY_DN20200_c6_g1_i1,374,0.0730368656106239,0.3945
TRINITY_DN20207_c5_g1_i1,246,0.150114678043624,0.8805
TRINITY_DN20231_c2_g1_i1,1357,0.0703479391722952,0.3805
TRINITY_DN20279_c12_g1_i5,95,0.119851129773592,0.0135
TRINITY_DN20283_c5_g1_i1,886,0.0756558336804399,0.161
TRINITY_DN20291_c4_g1_i3,780,0.143454696829371,0.8815
TRINITY_DN20300_c4_g1_i3,34,0.133467009931034,0.04
TRINITY_DN20312_c2_g1_i1,72,0.111395073471376,0.963
TRINITY_DN20345_c2_g1_i4,361,0.0862250573378135,0.14
TRINITY_DN20397_c0_g1_i2,193,0.101484301946402,0.895
TRINITY_DN20397_c1_g1_i1,137,0.178791913037571,0.9455
TRINITY_DN20411_c0_g1_i4,658,0.140117251741256,0.9355
TRINITY_DN20420_c6_g2_i4,307,0.103794723740726,0.007
TRINITY_DN20420_c6_g2_i4,309,0.0820110035854551,0.7115
TRINITY_DN20426_c9_g1_i1,593,0.105136641770963,0.849
TRINITY_DN20448_c1_g1_i3,377,0.0584178574871973,0.4615
TRINITY_DN20469_c1_g3_i2,693,0.0846983848359518,0.7185
TRINITY_DN20493_c4_g1_i2,13,0.137669928385148,0.034
TRINITY_DN20511_c6_g1_i1,510,0.0959801305935325,0.1075
TRINITY_DN20557_c0_g1_i11,60,0.0942758888075843,0.821
TRINITY_DN20557_c0_g1_i11,62,0.107388779183103,0.817
TRINITY_DN20557_c0_g1_i11,72,0.0820857171431676,0.6185
TRINITY_DN20557_c0_g1_i11,78,0.115967594129304,0.786
TRINITY_DN20557_c0_g1_i11,80,0.109864907976706,0.7885
TRINITY_DN20557_c0_g1_i11,81,0.105285736722688,0.765
TRINITY_DN20557_c0_g1_i11,93,0.0730137742334628,0.866
TRINITY_DN20557_c0_g1_i11,455,0.0644673435515522,0.2035
TRINITY_DN20557_c0_g1_i11,484,0.0626727920098541,0.228
TRINITY_DN20557_c0_g1_i11,496,0.0646123353969789,0.2215
TRINITY_DN20557_c0_g1_i11,532,0.0771865390367344,0.2145
TRINITY_DN20557_c0_g1_i11,538,0.0659351125504898,0.246
TRINITY_DN20557_c0_g1_i11,540,0.0694256005365582,0.2505
TRINITY_DN20557_c0_g1_i11,541,0.0631582523515026,0.2735
TRINITY_DN20562_c1_g1_i14,170,0.145608470144071,0.937
TRINITY_DN20565_c4_g1_i1,95,0.0890156482681139,0.3535
TRINITY_DN20591_c1_g1_i2,219,0.100007146105801,0.5425
TRINITY_DN20605_c2_g1_i1,856,0.0927013033957663,0.547
TRINITY_DN20607_c2_g4_i3,36,0.0861424204795813,0.2915
TRINITY_DN20614_c3_g1_i2,120,0.0821783938689583,0.155
TRINITY_DN20614_c3_g1_i2,123,0.0809258130056286,0.6865
TRINITY_DN20628_c7_g1_i5,410,0.0527843005591763,0.1105
TRINITY_DN20638_c7_g1_i3,238,0.178359952967792,0.918
TRINITY_DN20649_c5_g1_i8,181,0.153198232617424,0.8495
TRINITY_DN20656_c3_g3_i3,649,0.128862011841244,0.061
TRINITY_DN20668_c4_g1_i4,163,0.124357721559076,0.8805
TRINITY_DN20680_c1_g1_i1,334,0.0949874985723241,0.0505
TRINITY_DN20694_c1_g2_i2,526,0.183437344383842,0.9155
TRINITY_DN20710_c0_g3_i3,28,0.179340215870239,0.909
TRINITY_DN20713_c8_g1_i1,47,0.207193506904313,0.0225
TRINITY_DN20714_c6_g3_i1,1034,0.0842313951825237,0.5785
TRINITY_DN20757_c0_g1_i2,1640,0.171803055091831,0.9485
TRINITY_DN20762_c8_g1_i1,356,0.0693316448517598,0.3775
TRINITY_DN20779_c6_g1_i2,108,0.118882699733609,0.6675
TRINITY_DN20779_c6_g1_i2,117,0.194580033969503,0.9315
TRINITY_DN20798_c2_g1_i7,612,0.070373648000856,0.147
TRINITY_DN20822_c9_g1_i1,116,0.076159386161138,0.1695
TRINITY_DN20822_c9_g1_i1,125,0.177724950407982,0.913
TRINITY_DN20842_c2_g1_i1,307,0.0769005671104945,0.373
TRINITY_DN20847_c4_g2_i9,1071,0.114796239191844,0.061
TRINITY_DN20897_c5_g2_i1,279,0.158722202915303,0.0145
TRINITY_DN20898_c10_g2_i4,12,0.0773309688224903,0.3385
TRINITY_DN20955_c7_g1_i2,973,0.172110847546142,0.0115
TRINITY_DN20973_c1_g1_i7,34,0.103192019700787,0.4745
TRINITY_DN20973_c1_g1_i7,48,0.0876041243764642,0.417
TRINITY_DN20973_c1_g1_i7,52,0.229923264499295,0.5345
TRINITY_DN20977_c0_g1_i2,1620,0.164024984056208,0.8555
TRINITY_DN20987_c0_g1_i1,1470,0.162411072899703,0.9205
TRINITY_DN21001_c4_g3_i1,1188,0.148364424192988,0.0065
TRINITY_DN21014_c6_g1_i1,117,0.123492435459172,0.7915
TRINITY_DN21040_c10_g1_i1,416,0.111373084056792,0.191
TRINITY_DN21049_c3_g1_i3,248,0.113080388140748,0.0555
TRINITY_DN21055_c8_g1_i1,270,0.189001227169732,0.9145
TRINITY_DN21058_c4_g1_i1,111,0.0913785851638072,0.15
TRINITY_DN21074_c0_g4_i5,309,0.102340239487156,0.7985
TRINITY_DN21113_c4_g1_i3,288,0.199094201994269,0.0235
TRINITY_DN21135_c8_g1_i5,292,0.0937785006084414,0.326
TRINITY_DN21183_c6_g1_i2,319,0.162830846869808,0.953
TRINITY_DN21225_c12_g1_i4,418,0.0730152805279676,0.6085
TRINITY_DN21254_c2_g1_i4,84,0.139734364388193,0.01
TRINITY_DN21258_c0_g2_i2,286,0.0769592417339146,0.415
TRINITY_DN21259_c4_g2_i1,161,0.203928371879843,0.8815
TRINITY_DN21318_c3_g1_i1,405,0.166806777027697,0.949
TRINITY_DN21356_c3_g1_i15,260,0.0693485390339177,0.425
TRINITY_DN21360_c1_g1_i1,228,0.0668803310425374,0.192
TRINITY_DN21387_c8_g3_i1,3,0.159828301516166,0.0965
TRINITY_DN21408_c2_g1_i2,121,0.123301668700006,0.04
TRINITY_DN21408_c2_g1_i2,123,0.181651901606793,0.941
TRINITY_DN21444_c8_g1_i2,770,0.134703238195088,0.745
TRINITY_DN21458_c3_g1_i1,73,0.0632455054376712,0.4925
TRINITY_DN21506_c4_g1_i1,130,0.137393828772798,0.91
TRINITY_DN21514_c3_g1_i2,47,0.168658301382657,0.9505
TRINITY_DN21519_c4_g2_i4,202,0.0730005658607384,0.3505
TRINITY_DN21570_c1_g1_i5,403,0.147824109163979,0.1145
TRINITY_DN21570_c2_g2_i1,265,0.196671124486024,0.9095
TRINITY_DN21644_c3_g1_i8,592,0.0713062538276905,0.111
TRINITY_DN21664_c1_g1_i1,679,0.115766094121713,0.801
TRINITY_DN21670_c3_g1_i1,58,0.066480242649558,0.64
TRINITY_DN21705_c2_g1_i4,55,0.135981594942047,0.771
TRINITY_DN21773_c4_g2_i1,64,0.137944466095097,0.9375
TRINITY_DN21778_c10_g2_i1,58,0.186275413716408,0.3975
TRINITY_DN21824_c1_g1_i21,448,0.133275359261396,0.65
TRINITY_DN21824_c1_g1_i21,559,0.0822050509491344,0.702
TRINITY_DN21858_c4_g1_i2,570,0.129470185481938,0.855
TRINITY_DN21884_c5_g1_i1,96,0.0772406224615573,0.663
TRINITY_DN21889_c5_g1_i4,118,0.0902287251994872,0.3625
TRINITY_DN21909_c3_g1_i7,675,0.095631407031599,0.086
TRINITY_DN21912_c6_g1_i1,477,0.190361543796852,0.901
TRINITY_DN21913_c3_g1_i2,1051,0.154729519962413,0.9095
TRINITY_DN21948_c7_g1_i2,63,0.135623225961562,0.054
TRINITY_DN21996_c2_g2_i2,155,0.115223445403267,0.0255
TRINITY_DN22012_c23_g1_i1,203,0.183884808097485,0.9475
TRINITY_DN22038_c4_g1_i1,506,0.0714350415088595,0.2415
TRINITY_DN22038_c5_g1_i4,9,0.136154123369044,0.0825
TRINITY_DN22038_c5_g1_i4,51,0.190399244967451,0.049
TRINITY_DN22038_c5_g1_i4,71,0.304228344616611,0.027
TRINITY_DN22059_c6_g1_i1,181,0.0810918642707114,0.167
TRINITY_DN22061_c4_g1_i1,52,0.0652364047315695,0.291
TRINITY_DN22076_c1_g3_i5,129,0.0762525952699313,0.4305
TRINITY_DN22076_c1_g3_i5,249,0.145244048223744,0.932
TRINITY_DN22109_c3_g2_i2,107,0.0583482265716359,0.3345
TRINITY_DN22109_c3_g2_i2,113,0.0953606029625876,0.798
TRINITY_DN22114_c5_g2_i3,74,0.112133321648668,0.029
TRINITY_DN22121_c5_g1_i4,635,0.0590161631719948,0.674
TRINITY_DN22128_c6_g1_i4,430,0.117175318346182,0.854
TRINITY_DN22135_c3_g1_i2,577,0.00484121748768522,0.07
TRINITY_DN22137_c4_g6_i4,533,0.219249955355495,0.8885
TRINITY_DN22138_c3_g1_i4,840,0.0763988238825836,0.557
TRINITY_DN22141_c9_g1_i8,363,0.165551763020633,0
TRINITY_DN22141_c9_g1_i8,390,0.0931160487761748,0.0655
TRINITY_DN22166_c1_g1_i18,221,0.150439129236267,0.033
TRINITY_DN22168_c0_g1_i1,93,0.174055029441018,0.007
TRINITY_DN22176_c2_g1_i2,237,0.11393059782727,0.653
TRINITY_DN22176_c3_g1_i6,150,0.0626599477637153,0.4845
TRINITY_DN22185_c0_g1_i1,58,0.136874358552891,0.0245
TRINITY_DN22206_c3_g2_i1,280,0.214264332080625,0.0555
TRINITY_DN22233_c3_g1_i1,66,0.147897800773602,0.9235
TRINITY_DN22240_c7_g1_i1,28,0.135896126765307,0.0435
TRINITY_DN22245_c12_g1_i3,531,0.102758130745843,0.0649999999999999
TRINITY_DN22252_c1_g1_i6,61,0.156784272529874,0.018
TRINITY_DN22263_c10_g3_i3,90,0.104090996245631,0.8265
TRINITY_DN22263_c10_g3_i3,139,0.174535346379387,0.907
TRINITY_DN22274_c2_g1_i2,988,0.125572078064975,0.223
TRINITY_DN22301_c4_g1_i1,480,0.0599931178737069,0.5375
TRINITY_DN22442_c4_g1_i2,548,0.173010696450709,0.028
TRINITY_DN22442_c4_g1_i2,551,0.182593670726759,0.0265
TRINITY_DN22454_c1_g1_i8,340,0.0460177906557314,0.1545
TRINITY_DN22464_c12_g1_i2,196,0.111276699281091,0.7675
TRINITY_DN22478_c6_g1_i6,583,0.0541188918669949,0.1565
TRINITY_DN22488_c1_g1_i4,650,0.0822183810542305,0.1385
TRINITY_DN22572_c0_g1_i1,378,0.0473778634762836,0.471
TRINITY_DN22611_c8_g1_i1,1255,0.0667025766999966,0.4845
TRINITY_DN22631_c5_g1_i1,265,0.141829062865124,0.034
TRINITY_DN22637_c5_g1_i4,689,0.115870241728981,0.0355
TRINITY_DN22647_c9_g1_i1,95,0.0649119242274071,0.496
TRINITY_DN22649_c9_g4_i1,557,0.202290392654965,0.03
TRINITY_DN22737_c5_g1_i2,145,0.12478985270538,0.113
TRINITY_DN22787_c3_g1_i1,679,0.106464833430328,0.025
TRINITY_DN22798_c8_g1_i3,202,0.106783048352589,0.572
TRINITY_DN22807_c2_g1_i4,234,0.070052086582899,0.5125
TRINITY_DN22874_c7_g1_i4,51,0.18528187914145,0.018
TRINITY_DN22874_c7_g1_i4,67,0.166597818894125,0.023
TRINITY_DN22898_c7_g1_i5,132,0.0659419733574546,0.603
TRINITY_DN22916_c3_g1_i1,11,0.132107307568782,0.04
TRINITY_DN22929_c9_g1_i2,64,0.159134469370685,0.934
TRINITY_DN22945_c4_g1_i2,67,0.0921890735613813,0.0755
TRINITY_DN22958_c3_g1_i4,950,0.130329565153639,0.672
TRINITY_DN22965_c5_g1_i7,64,0.0647348394201517,0.15
TRINITY_DN22972_c8_g1_i7,289,0.0626719417017699,0.3845
TRINITY_DN22982_c4_g3_i2,110,0.129805901822581,0.955
TRINITY_DN22989_c1_g1_i1,110,0.0950021172530752,0.9465
TRINITY_DN23010_c5_g1_i2,606,0.149263896654368,0.783
TRINITY_DN23058_c0_g1_i5,72,0.128277399514812,0.962
TRINITY_DN23078_c4_g1_i2,1043,0.101447726523092,0.8195
TRINITY_DN23108_c3_g1_i1,18,0.064785604524611,0.62
TRINITY_DN23137_c1_g1_i1,112,0.122202311361759,0.0235000000000001
TRINITY_DN23171_c6_g1_i5,195,0.0794154654016103,0.2095
TRINITY_DN23220_c6_g1_i6,17,0.114030589811362,0.6465
TRINITY_DN23227_c5_g1_i3,339,0.157455743386951,0.925
TRINITY_DN23229_c5_g2_i1,144,0.059384893196505,0.385
TRINITY_DN23232_c14_g1_i1,182,0.0999406871032259,0.719
TRINITY_DN23244_c6_g1_i1,630,0.196621003095799,0.033
TRINITY_DN23301_c9_g1_i4,89,0.0860739015589755,0.668
TRINITY_DN23358_c4_g2_i1,239,0.181539144366631,0.9355
TRINITY_DN23360_c2_g1_i1,84,0.0621622556629159,0.0315
TRINITY_DN23426_c12_g1_i1,69,0.103668062446193,0.846
TRINITY_DN23446_c1_g2_i1,261,0.116162307234873,0.0065
TRINITY_DN23542_c9_g2_i1,1214,0.0955419661051695,0.788
TRINITY_DN23549_c2_g2_i1,68,0.214043355444762,0.917
TRINITY_DN23549_c2_g2_i1,79,0.212489935516238,0.9195
TRINITY_DN23557_c3_g1_i1,20,0.129776940811108,0.8755
TRINITY_DN23571_c4_g1_i22,792,0.119378496657158,0.8145
TRINITY_DN23578_c7_g1_i1,162,0.103673654858879,0.831
TRINITY_DN23578_c7_g1_i1,163,0.135502392126956,0.822
TRINITY_DN23579_c2_g1_i1,593,0.0928651421131845,0.0525
TRINITY_DN23586_c3_g2_i7,738,0.116689538522058,0.927
TRINITY_DN23632_c6_g1_i1,443,0.0976125618068069,0.067
TRINITY_DN23701_c7_g1_i8,572,0.0695651234496882,0.5255
TRINITY_DN23744_c4_g2_i1,732,0.101227701769593,0.058
TRINITY_DN23837_c1_g2_i2,95,0.0885640349282111,0.492
TRINITY_DN23857_c3_g1_i9,407,0.176438316488679,0.8795
TRINITY_DN23857_c3_g1_i9,443,0.141542391533242,0.837
TRINITY_DN23877_c3_g1_i7,74,0.131108330701299,0.021
TRINITY_DN23908_c3_g1_i2,435,0.13434961652859,0.7815
TRINITY_DN23919_c6_g1_i1,11,0.170997177321623,0.87
TRINITY_DN23968_c1_g1_i4,324,0.209949829540582,0.815
TRINITY_DN24010_c0_g1_i3,378,0.126798629079677,0.821
TRINITY_DN24018_c4_g1_i2,210,0.160697453562228,0.934
TRINITY_DN24020_c5_g1_i1,197,0.194906338058302,0
TRINITY_DN24152_c2_g2_i3,300,0.0977084900373266,0.7045
TRINITY_DN24169_c4_g1_i1,122,0.190124921688043,0.0035
TRINITY_DN24179_c0_g1_i1,1301,0.150146957327198,0.2285
TRINITY_DN24180_c3_g4_i1,226,0.202554600661339,0.935
TRINITY_DN24180_c3_g4_i1,275,0.166866634476352,0.9035
TRINITY_DN24188_c6_g1_i2,166,0.173381587673212,0.2235
TRINITY_DN24188_c6_g1_i2,179,0.200366656460074,0.1025
TRINITY_DN24188_c6_g1_i2,304,0.107883198527266,0.1595
TRINITY_DN24243_c5_g3_i1,244,0.0717363960688122,0.181
TRINITY_DN24266_c3_g2_i3,83,0.19587245454175,0.829
TRINITY_DN24314_c1_g2_i1,149,0.0744866107023069,0.393
TRINITY_DN24355_c5_g1_i5,186,0.136973306746875,0.0095
TRINITY_DN24367_c7_g1_i2,65,0.0939304907462145,0.9575
TRINITY_DN24372_c3_g2_i1,116,0.099946781738577,0.5045
TRINITY_DN24382_c1_g1_i1,529,0.169611535015986,0.004
TRINITY_DN24392_c2_g1_i2,175,0.0769170009788814,0.4015
TRINITY_DN24393_c1_g2_i12,78,0.0527708628764642,0.62
TRINITY_DN24417_c5_g1_i2,119,0.0939927129500186,0.121
TRINITY_DN24421_c2_g2_i2,555,0.166205375872714,0.9185
TRINITY_DN24450_c5_g3_i1,169,0.1645766924404,0.914
TRINITY_DN24570_c4_g1_i3,126,0.0848510704375348,0.2335
TRINITY_DN24570_c4_g1_i3,167,0.0629914418159411,0.3915
TRINITY_DN24570_c4_g1_i3,215,0.13638928263443,0.005
TRINITY_DN24609_c0_g1_i1,616,0.132571643351066,0.0705
TRINITY_DN24633_c11_g1_i5,210,0.0931592442701442,0.82
TRINITY_DN24664_c0_g1_i1,690,0.0836551240073106,0.2765
TRINITY_DN24697_c7_g1_i1,320,0.123194736966476,0.8435
TRINITY_DN24707_c3_g1_i1,170,0.0798934133805302,0.2625
TRINITY_DN24718_c1_g1_i2,609,0.0606635319184236,0.6095
TRINITY_DN24728_c1_g1_i2,369,0.084951975740416,0.7865
TRINITY_DN24734_c5_g1_i2,43,0.117880799755244,0.0095
TRINITY_DN24734_c5_g1_i2,91,0.0924025641840935,0.1055
TRINITY_DN24781_c3_g1_i2,256,0.140578027704925,0.027
TRINITY_DN24820_c6_g1_i3,326,0.0976607955835594,0.273
TRINITY_DN24820_c6_g1_i3,327,0.0822941898095047,0.3565
TRINITY_DN24821_c4_g1_i3,237,0.123069897990573,0.948
TRINITY_DN24846_c9_g1_i1,36,0.164512121215069,0.043
TRINITY_DN24882_c11_g1_i3,48,0.119852258394681,0.8745
TRINITY_DN24952_c9_g1_i1,282,0.0644996448294983,0.6645
TRINITY_DN25019_c8_g1_i2,89,0.0778462949620108,0.2435
TRINITY_DN25034_c4_g1_i2,142,0.128910727689823,0.0165
TRINITY_DN25036_c8_g1_i1,364,0.0691149712811185,0.2245
TRINITY_DN25045_c1_g1_i4,1578,0.132114925140801,0.023
TRINITY_DN25053_c1_g1_i4,31,0.0704611958415603,0.5465
TRINITY_DN25054_c4_g2_i1,433,0.0797378119519541,0.285
TRINITY_DN25055_c4_g1_i1,147,0.145020660793573,0.007
TRINITY_DN25059_c11_g2_i2,696,0.0747222288848839,0.0075
TRINITY_DN25110_c2_g1_i2,270,0.182857194471222,0.8805
TRINITY_DN25133_c6_g1_i1,50,0.11076387187122,0.0335
TRINITY_DN25143_c9_g1_i2,422,0.0900477507851222,0.732
TRINITY_DN25166_c3_g2_i1,136,0.0642718732705088,0.1505
TRINITY_DN25197_c2_g1_i6,131,0.127359163620894,0.837
TRINITY_DN25215_c0_g1_i3,1376,0.216629415751285,0.9025
TRINITY_DN25219_c1_g2_i2,112,0.0893595293164726,0.6765
TRINITY_DN25230_c1_g1_i1,340,0.0518643969904639,0.478
TRINITY_DN25243_c0_g1_i2,80,0.131961008587816,0.8435
TRINITY_DN25260_c7_g1_i1,192,0.0707532843265925,0.375
TRINITY_DN25267_c2_g4_i1,1105,0.228403105746499,0.01
TRINITY_DN25314_c3_g1_i3,10,0.168647291135545,0
TRINITY_DN25350_c2_g1_i3,144,0.0802741802199798,0.5
TRINITY_DN25445_c2_g2_i1,49,0.0863414008725944,0.7895
TRINITY_DN25454_c6_g3_i1,26,0.105032449722269,0.471
TRINITY_DN25480_c9_g2_i7,154,0.118023709956526,0.0215
TRINITY_DN25505_c0_g1_i1,982,0.128388748760838,0.8265
TRINITY_DN25527_c1_g1_i1,352,0.141366577323761,0.9505
TRINITY_DN25527_c2_g1_i1,895,0.112889589654036,0.8165
TRINITY_DN25543_c7_g3_i3,307,0.138156965912536,0.75
TRINITY_DN25558_c1_g1_i2,312,0.101753895973537,0.222
TRINITY_DN25563_c3_g1_i1,36,0.088372862971905,0.782
TRINITY_DN25620_c4_g1_i6,94,0.126319741555195,0.638
TRINITY_DN25669_c3_g1_i2,1260,0.144193621524952,0.8755
TRINITY_DN25676_c4_g1_i1,316,0.116781844624345,0.3775
TRINITY_DN25696_c6_g1_i5,263,0.055021611438342,0.4685
TRINITY_DN25700_c6_g2_i3,307,0.0721853353875754,0.715
TRINITY_DN25735_c4_g1_i3,42,0.104091769406367,0.8295
TRINITY_DN25750_c0_g2_i1,197,0.120455244279242,0.0315
TRINITY_DN25781_c0_g1_i2,471,0.0638175433233493,0.4565
TRINITY_DN25826_c6_g1_i4,572,0.0745189261344527,0.8575
TRINITY_DN25837_c3_g1_i1,543,0.0744898842487607,0.2005
TRINITY_DN25839_c6_g2_i1,1566,0.133453525097032,0.916
TRINITY_DN25860_c1_g2_i2,67,0.159502997427443,0.01
TRINITY_DN25900_c8_g1_i2,380,0.142259604547706,0.021
TRINITY_DN25900_c8_g1_i2,418,0.136230352009236,0.8505
